category,link,big_title,lecture_link,middle_titles,lecture_time,teacher_name,teacher_post,teacher_profile,related_words,category_id
ビジネススキル,https://schoo.jp/course/7794,全2回クイックに作る 伝わる図解,"['https://schoo.jp/class/10578', 'https://schoo.jp/class/10606']","['課題を伝える時のレイアウトのコツ', '効果を伝える時のレイアウトのコツ']","['60min', '60min']",松上 純一郎,株式会社Rubato　代表取締役,"同志社大学文学部卒業、神戸大学大学院修了、University of East Anglia修士課程修了。
米国戦略コンサルティングファームのモニターグループで、外資系製薬企業のマーケティング・営業戦略、国内企業の海外進出戦略の策定に従事。
その後、NGOに転じ、アライアンス・フォーラム財団にて企業の新興国進出サポート（バングラデシュやアフリカ・ザンビアでのソーラーパネルプロジェクト、栄養食品開発プロジェクト等）や栄養改善プロジェクトに携わる。

現在は株式会社Rubato代表取締役を務める。
Rubatoにて自身のコンサルティング経験から、提案を伝え、人を動かす技術を多くの人に広めたいという想いで、個人・法人向けの研修を提供している。

著書に５万部突破の『PowerPoint資料作成　プロフェッショナルの大原則』（技術評論社）、『ドリルで学ぶ！人を動かす資料の作り方』（日本経済新聞出版社）、監修に『この1冊で伝わる資料を作る! PowerPoint 暗黙のルール』（マイナビ出版）がある。","['PowerPoint', '仕事術', '資料作成', '業務効率化']",1
ビジネススキル,https://schoo.jp/course/7809,全1回あなたの市場価値を“ストーリー化“で伝えよう,['https://schoo.jp/class/10616'],['広報目線で作る「自分ストーリー」'],['60min'],斉藤 久良良,株式会社プラスカラー　取締役COO 広報コンサルタント,"広報歴18年・広報人材育成歴10年の広報コンサルタント。
2011年〜約6年、スマートフォンゲームを開発する(株)コロプラにて広報・IRチームのマネージャーに就任、チームメンバーの指導・育成も行う。メディアリレーションを中心とした社外広報、社内広報、企業ブランディング、CSR活動、IRなど広報領域全般をカバー。2017年〜はフリーランス広報として未経験広報人材の育成を中心に、企業の広報活動を支援。2019年3月より広報・PR支援の(株)プラスカラーに取締役COOとしてジョイン。「広報・PRの力で日本を活性化する」という目標を掲げ、広報できる人材の育成に目下、心血を注いでいる。","['広報・PR', 'キャリア', '印象づくり', '就職活動', '複業・副業', 'セルフブランディング', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7775,全5回仕事が楽しくなるビジネス数学,"['https://schoo.jp/class/10547', 'https://schoo.jp/class/10675', 'https://schoo.jp/class/10731', 'https://schoo.jp/class/10789', 'https://schoo.jp/class/10854']","['ビジネスで差をつけるグラフの扱い方', '統計入門〜割合〜', '期待値を意思決定に活用する', '第4回 統計入門  〜ヒストグラムと標準偏差〜', '第5回 正規分布']","['45min', '45min', '45min']",鈴木 伸介,株式会社数学アカデミー 代表取締役,株式会社数学アカデミー代表取締役。医学部受験数学マンツーマン指導Focus代表講師。早稲田大学理工学部在学中よりこれまで、小学生の算数から難関大学受験の数学まであらゆる層の指導経験を培う。現在、医学部受験数学指導を行う一方、一般向けに数学の意義・価値を伝える活動を精力的に行う。数学に関するセミナーやイベントに多数登壇、ビジネス数学検定・統計検定等の対策講座講師、数学コラムの執筆、数学リテラシー向上のための企業研修、企業のデータ分析などに尽力。YouTubeチャンネル『すずき先生／医学部受験数学』では数学動画を定期的に配信している。著書『もう一度解いてみる入試数学』（すばる舎）。ビジネス数学検定1級AAA資格保有。株式会社数学アカデミーのホームページはこちら https://suugaku-acad.jp/,"['ビジネスシミュレーション', 'プレゼンテーション', '課題解決力', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7792,全3回チームの成果を引き上げる 熱狂の火種,"['https://schoo.jp/class/10576', 'https://schoo.jp/class/10651', 'https://schoo.jp/class/10682']","['「熱狂」がチームの軸をつくる', '周囲を熱狂に巻き込む ３つの心得', 'チームに火をともす問いかけ']","['60min', '60min', '60min']",岸 昌史,Axia Strategic Partners代表取締役,"変革デザイナー。三井物産株式会社(人事や経理の他、営業ではインドネシアでの新会社4社立ち上げをリード)、ボストン コンサルティング グループ(年間MVP受賞)、クリエイティブ系スタートアップの事業統括責任者を経て、「人の持つ可能性を爆発させ、未来の憧れとなる人や組織を生み出す」ことを目的に、組織づくりのコンサルティングやエグゼクティブ向けコーチングサービスを提供するAxia Strategic Partnersを起業。
学生時代はアメリカンフットボール部で日本代表や日本一を経験。関西学院大学商学部、北京大学Executive MBA、桑沢デザイン研究所戦略経営デザインコース卒。著書「熱狂のデザイン　楽しく結果を出すチームのつくり方」は、Amazon７部門でNo.1のベストセラーに。
最近、2人の子供とブレイクダンスやキックボクシングを習い始めたが、既に子供に抜かれ、焦って影練中。","['コミュニケーション術', 'マネジメント', 'リーダーシップ', '人材育成', 'チームビルディング', '課題解決力']",1
ビジネススキル,https://schoo.jp/course/7799,全1回インボイス開始目前、準備OK？,['https://schoo.jp/class/10574'],['インボイス総復習、今後の手続きについてケーススタディで学ぶ'],['60min'],宮﨑 雅大,税理士,会計や税務の負担を、ちょっとでも軽減できればと思い、お話しています。（開業年月：2016年10月活動拠点：神奈川県川崎市中原区）ワークショップや交流会、タイムチケットなどを通じてフリーランスの方とお話する機会が多かったため、その経験を活かして登壇させていただいています。開業当初は、freeeやマネーフォワードは今ほど使い勝手が良くなかったときから利用しています。そのため、設立したての法人や開業したての個人事業主の方の相談にのる機会も多かったです。その機会を活かしてウェビナーやワークショップに登壇させていただいています。趣味はボルダリング（あまり上手では無いので良く落ちていますが…）です。,"['フリーランス', '確定申告', '税金', '簿記', '複業・副業', '経理', '会計・財務']",1
ビジネススキル,https://schoo.jp/course/7752,全1回Notion AI研究会,['https://schoo.jp/class/10506'],['つばさ先生とNotion AIの可能性を探ろう'],['40min'],つばさ,Notionコンサルタント,Notion認定コンサルタント、兼Notion公式アンバサダーとしてNotion導入・運用をサポートしています。これまで累計500時間以上のコンサルティングを提供しており、特に個人のセルフマネジメントに関連したNotionの相談を多く受けています。,"['情報活用', '時間術', '業務効率化', '課題解決力', 'AI活用', 'DX基礎', 'ITリテラシー']",1
ビジネススキル,https://schoo.jp/course/7778,全1回達人から学ぶ「ほめる」は最強のビジネススキル,['https://schoo.jp/class/10552'],['「ほめ上手」と「ゴマすり」って何が違う？'],['60min'],西村 博,ほめちぎる人財育成講師,"西村　博（にしむら　ひろし）S50　７月３日
有限会社　西村自動車　代表取締役
新車市場（新車・中古車販売・リース）・車検のコバック　東みよし店・メンズ脱毛サロン美肌男
【経歴】
セミナー講師・経営コンサルタント
一般社団法人ほめる達人協会　特別認定講師
一般社団法人日本パーソナルブランド協会　パーソナルブランドコンサルタント
PTA本部役員１８年
東みよし町教育委員８年

【メディア実績】
テレビ：四国放送ゴジカルレギュラーコメンテーター（2019～2023）・フォーカス徳島
ラジオ：AM徳島・FM徳島・FM眉山・広島FM
雑誌：徳島人　・ワイヤーママ・あわわ
2018年セミナーコンテストグランプリ優勝","['コミュニケーション術', '印象づくり', '交渉術']",1
ビジネススキル,https://schoo.jp/course/7774,全1回歴史から紐解く『サラリーマン』の働き方,['https://schoo.jp/class/10544'],['自分に合った“いま“の働き方を考える'],['60min'],原克,早稲田大学教育学部教授,"早稲田大学教授。専門は表象文化論・ドイツ文学。
1954年、長野県生まれ。立教大学大学院ドイツ文学専攻博士課程。
職歴：神戸大学国際文化学部助教授・立教大学文学部ドイツ文学科教授を経て現職。ボーフム大学・ベルリン・フンボルト大学哲学科研究員。
著書：『流線形の考古学』(講談社学術文庫)、『アップルパイ神話の時代』(岩波書店)、『サラリーマン誕生物語』(講談社)、『OL誕生物語』(講談社)、『美女と機械』(河出書房新社)、『気分はサイボーグ』(角川学芸出版)、『身体補完計画』(青土社)、『ポピュラー・サイエンスの時代』(柏書房)、『暮らしのテクノロジー』(大修館書店)、『モノの都市論』(大修館書店) 、『白物家電の神話』(青土社)、『騒音の文明史』(東洋書林)等。","['歴史', 'その他', 'ビジネス教養', 'リベラルアーツ']",1
ビジネススキル,https://schoo.jp/course/7757,全1回仕事で疲れた人のためのラクラク時短家事術,['https://schoo.jp/class/10514'],['時短家事7つの法則'],['60min'],本間 朝子,知的家事プロデューサー,"フードプランニング会社のチーフディレクターを経て独立。
自分自身が仕事と家事の両立に苦労した経験から、時間と無駄な労力を省く家事メソッド「知的家事」を考案。
「時間がない」「家事が大変」と嘆く多くの主婦の悩みを解決している。
NHK「あさイチ」や日本テレビ「ヒルナンデス! 」などのテレビ、「クロワッサン」「ESSE」「レタスクラブ」ほか、テレビドラマの時短家事アドバイザーとしても活躍。
著書に『写真で分かる！家事の手間を9割減らせる部屋づくり』（青春出版社）、『ゼロ家事』（大和書房）、『ムダ家事が消える生活』（サンクチュアリ出版）など計12冊。
オンライン上で仲間と交流を深めながら、楽しく家事をするコミュニティ「家事トモ☆サロン」主宰。","['時間術', '行動習慣']",1
ビジネススキル,https://schoo.jp/course/7770,全6回創造性を育てる　デザインコミュニケーション入門,"['https://schoo.jp/class/10535', 'https://schoo.jp/class/10536', 'https://schoo.jp/class/10537', 'https://schoo.jp/class/10538', 'https://schoo.jp/class/10539', 'https://schoo.jp/class/10540']","['発注・受注はコミュニケーションでできている', 'デザインプロセスの秘伝レシピ', 'デザイナーの頭を解体する', '評価と選択のプロになること', 'デザインプロセスのコミュニケーション', 'もっと創造的に生きるために']","['70min', '70min', '70min', '70min']",カイシ トモヤ,アートディレクター／東京造形大学教授,アートディレクター／グラフィックデザイナー。株式会社ルームコンポジット代表取締役。東京造形大学教授。関西大学産業心理学専攻卒業後、デザイン会社を経て2004年独立、2007年より法人化。仕事においてプロセスやコンテクストおよびそれらの言語化を重視し、クライアントに寄り沿って並走するように、コンセプト立案やデザインを行っている。香港国際ポスタートリエンナーレ 金銀銅賞/KAN Tai-Keung賞、APA金丸重嶺賞、繊研流通広告賞 金賞等。主な著書に『すべての仕事はデザインから始まる。 失敗しないデザイン発注』『How to Design いちばん面白いデザインの教科書 改訂版』『たのしごとデザイン論 完全版』がある。,"['コミュニケーション術', 'デザイン', 'ビジネス基礎力']",1
